0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,match_id,home_team,away_team,home_score,away_score,home_formation,away_formation
Nick Pope,Ben Mee,Matthew Lowton,James Tarkowski,Erik Pieters,Robbie Brady,Jóhann Gudmundsson,Josh Brownhill,Ashley Westwood,Ashley Barnes,Chris Wood,Will Norris,Phil Bardsley,Kevin Long,Josh Benson,Dwight McNeil,Dale Stephens,Jack Cork,Jay Rodriguez,Matej Vydra,David de Gea,Aaron Wan-Bissaka,Eric Bailly,Luke Shaw,Harry Maguire,Bruno Fernandes,Nemanja Matic,Paul Pogba,Marcus Rashford,Anthony Martial,Edinson Cavani,Dean Henderson,Axel Tuanzebe,Alex Telles,Fred,Juan Mata,Donny van de Beek,Daniel James,Scott McTominay,Mason Greenwood,58896,Burnley,Manchester United,0,1,4-4-2,4-2-3-1
Vicente Guaita,Scott Dann,Cheikhou Kouyaté,Joel Ward,Tyrick Mitchell,Andros Townsend,James McCarthy,James McArthur,Jeffrey Schlupp,Wilfried Zaha,Jordan Ayew,Wayne Hennessey,Sam Woods,Martin Kelly,Luka Milivojevic,Eberechi Eze,Max Meyer,Michy Batshuayi,Buffer,Buffer,Alex McCarthy,Jan Bednarek,Jack Stephens,Kyle Walker-Peters,Ryan Bertrand,Oriol Romeu,James Ward-Prowse,Nathan Redmond,William Smallbone,Che Adams,Danny Ings,Fraser Forster,Jannik Vestergaard,Jake Vokins,Moussa Djenepo,Nathan Tella,Shane Long,Michael Obafemi,Buffer,Buffer,58897,Crystal Palace,Southampton,1,0,4-4-2,4-4-2
Marek Rodák,Joe Bryan,Denis Odoi,Michael Hector,Tim Ream,Josh Onomah,Ivan Cavaleiro,Neeskens Kebano,Harrison Reed,Tom Cairney,Aboubakar Kamara,Alphonse Areola,Maxime Le Marchand,Cyrus Christie,André-Frank Zambo Anguissa,Anthony Knockaert,Aleksandar Mitrovic,Bobby De Cordova-Reid,Buffer,Buffer,Bernd Leno,Rob Holding,Gabriel Magalhães,Kieran Tierney,Granit Xhaka,Mohamed Elneny,Héctor Bellerín,Ainsley Maitland-Niles,Alexandre Lacazette,Willian,Pierre-Emerick Aubameyang,Matt Macey,Sead Kolasinac,Bukayo Saka,Dani Ceballos,Joseph Willock,Nicolas Pépé,Eddie Nketiah,Buffer,Buffer,58898,Fulham,Arsenal,0,3,4-2-3-1,3-4-3
Alisson,Joseph Gomez,Trent Alexander-Arnold,Virgil van Dijk,Andrew Robertson,Jordan Henderson,Naby Keïta,Georginio Wijnaldum,Sadio Mané,Mohamed Salah,Roberto Firmino,Adrián,Joel Matip,Fabinho,James Milner,Curtis Jones,Takumi Minamino,Divock Origi,Buffer,Buffer,Illan Meslier,Stuart Dallas,Robin Koch,Pascal Struijk,Luke Ayling,Mateusz Klich,Hélder Costa,Pablo Hernández,Jack Harrison,Kalvin Phillips,Patrick Bamford,Kiko Casilla,Oliver Casey,Jamie Shackleton,Ezgjan Alioski,Rodrigo,Tyler Roberts,Ian Poveda-Ocampo,Buffer,Buffer,58899,Liverpool,Leeds United,4,3,4-3-3,4-1-4-1
Ederson,João Cancelo,John Stones,Rúben Dias,Kyle Walker,Kevin De Bruyne,Rodri,Ilkay Gündogan,Bernardo Silva,Phil Foden,Raheem Sterling,Zack Steffen,Oleksandr Zinchenko,Benjamin Mendy,Eric García,Fernandinho,Adrián Bernabé,Riyad Mahrez,Gabriel Jesus,Ferran Torres,Emiliano Martínez,Matt Targett,Matthew Cash,Tyrone Mings,Ezri Konsa,Ross Barkley,John McGinn,Bertrand Traoré,Jack Grealish,Douglas Luiz,Ollie Watkins,Tom Heaton,Björn Engels,Neil Taylor,Frédéric Guilbert,Ahmed El Mohamady,Marvelous Nakamba,Jacob Ramsey,Anwar El Ghazi,Keinan Davis,58900,Manchester City,Aston Villa,2,0,4-3-3,4-2-3-1
Hugo Lloris,Ben Davies,Matt Doherty,Toby Alderweireld,Eric Dier,Son Heung-Min,Lucas Moura,Dele Alli,Pierre-Emile Højbjerg,Harry Winks,Harry Kane,Joe Hart,Davinson Sánchez,Serge Aurier,Moussa Sissoko,Erik Lamela,Tanguy Ndombele,Steven Bergwijn,Buffer,Buffer,Jordan Pickford,Lucas Digne,Yerry Mina,Michael Keane,Séamus Coleman,André Gomes,Abdoulaye Doucouré,Allan,James Rodríguez,Dominic Calvert-Lewin,Richarlison,João Virgínia,Jonjoe Kenny,Gylfi Sigurdsson,Tom Davies,Moise Kean,Bernard,Theo Walcott,Buffer,Buffer,58901,Tottenham Hotspur,Everton,0,1,4-2-3-1,4-3-3
Sam Johnstone,Kieran Gibbs,Dara O'Shea,Semi Ajayi,Darnell Furlong,Kyle Bartley,Romaine Sawyers,Jake Livermore,Matheus Pereira,Grady Diangana,Callum Robinson,David Button,Ahmed Hegazi,Kyle Edwards,Kamil Grosicki,Rekeem Harper,Hal Robson-Kanu,Charlie Austin,Buffer,Buffer,Kasper Schmeichel,James Justin,Timothy Castagne,Wilfred Ndidi,Çaglar Söyüncü,Ayoze Pérez,Youri Tielemans,Dennis Praet,Harvey Barnes,Nampalys Mendy,Jamie Vardy,Danny Ward,Christian Fuchs,Luke Thomas,James Maddison,Marc Albrighton,Hamza Choudhury,Kelechi Iheanacho,Buffer,Buffer,58902,West Bromwich Albion,Leicester City,0,3,5-4-1,4-1-4-1
Lukasz Fabianski,Aaron Cresswell,Issa Diop,Angelo Ogbonna,Ryan Fredericks,Pablo Fornals,Jarrod Bowen,Mark Noble,Declan Rice,Tomas Soucek,Michail Antonio,Darren Randolph,Fabián Balbuena,Ben Johnson,Felipe Anderson,Manuel Lanzini,Sébastien Haller,Andriy Yarmolenko,Buffer,Buffer,Karl Darlow,Jamaal Lascelles,Javier Manquillo,Federico Fernández,Jamal Lewis,Jeff Hendrick,Allan Saint-Maximin,Isaac Hayden,Jonjo Shelvey,Callum Wilson,Andy Carroll,Mark Gillespie,Emil Krafth,Ryan Fraser,Matt Ritchie,Miguel Almirón,Sean Longstaff,Joelinton,Buffer,Buffer,58903,West Ham United,Newcastle United,0,2,4-2-3-1,4-4-2
Mat Ryan,Adam Webster,Lewis Dunk,Benjamin White,Adam Lallana,Tariq Lamptey,Solly March,Steven Alzate,Yves Bissouma,Leandro Trossard,Neal Maupay,Jason Steele,Joël Veltman,Dan Burn,Dale Stephens,Pascal Groß,Aaron Connolly,Alireza Jahanbakhsh,Buffer,Buffer,Kepa Arrizabalaga,Kurt Zouma,Andreas Christensen,Reece James,Marcos Alonso,Jorginho,Kai Havertz,N'Golo Kanté,Mason Mount,Ruben Loftus-Cheek,Timo Werner,Willy Caballero,Antonio Rüdiger,César Azpilicueta,Ross Barkley,Callum Hudson-Odoi,Tammy Abraham,Olivier Giroud,Buffer,Buffer,58904,Brighton and Hove Albion,Chelsea,1,3,3-5-2,4-2-2-2
Aaron Ramsdale,John Egan,Jack O'Connell,Chris Basham,John Fleck,John Lundstram,George Baldock,Oliver Norwood,Enda Stevens,Oliver McBurnie,Billy Sharp,Wes Foderingham,Phil Jagielka,Ethan Ampadu,Oliver Burke,Ben Osborn,Sander Berge,David McGoldrick,Buffer,Buffer,Rui Patrício,Romain Saïss,Conor Coady,Willy Boly,Adama Traoré,Marçal,João Moutinho,Leander Dendoncker,Daniel Podence,Raúl Jiménez,Pedro Neto,John Ruddy,Rúben Vinagre,Oskar Buur,Rúben Neves,Vitinha,Diogo Jota,Fábio Silva,Buffer,Buffer,58905,Sheffield United,Wolverhampton Wanderers,0,2,3-5-2,3-4-3
